date,permno,tic,conm,PRC,atq,dlcq,dlttq,SHROUT,market_cap,total_debt,leverage,log_return,equity_volatility,rf,merton_pd,pd_valid
2010-04-30,86868,GS,GOLDMAN SACHS GROUP INC,145.2,880528000000.0,345224000000.0,193609000000.0,526853.0,76499055600.0,442028500000.0,0.6119430614358657,-0.0985606513732557,0.3485209771775385,3.69,,False
2010-05-04,86868,GS,GOLDMAN SACHS GROUP INC,149.45,880528000000.0,345224000000.0,193609000000.0,526853.0,78738180850.0,442028500000.0,0.6119430614358657,-0.0003345041007943,0.3453405257524513,3.63,,False
2010-05-06,86868,GS,GOLDMAN SACHS GROUP INC,142.32001,880528000000.0,345224000000.0,193609000000.0,526853.0,74981724228.53,442028500000.0,0.6119430614358657,-0.0404171205803164,0.3465469437688874,3.41,,False
2010-05-07,86868,GS,GOLDMAN SACHS GROUP INC,142.99001,880528000000.0,345224000000.0,193609000000.0,526853.0,75334715738.53001,442028500000.0,0.6119430614358657,0.0046966540579434,0.3442032761254495,3.45,,False
2010-05-12,86868,GS,GOLDMAN SACHS GROUP INC,147.2,880528000000.0,345224000000.0,193609000000.0,526853.0,77552761600.0,442028500000.0,0.6119430614358657,0.0361764386192931,0.3425806821562797,3.56,,False
2010-05-13,86868,GS,GOLDMAN SACHS GROUP INC,144.64999,880528000000.0,345224000000.0,193609000000.0,526853.0,76209281181.47,442028500000.0,0.6119430614358657,-0.0174752440050225,0.3398181101002314,3.55,,False
2010-05-14,86868,GS,GOLDMAN SACHS GROUP INC,143.23,880528000000.0,345224000000.0,193609000000.0,526853.0,75461155190.0,442028500000.0,0.6119430614358657,-0.0098652324979795,0.3383935708039932,3.44,,False
2010-05-17,86868,GS,GOLDMAN SACHS GROUP INC,142.64,880528000000.0,345224000000.0,193609000000.0,526853.0,75150311919.99998,442028500000.0,0.6119430614358657,-0.0041277562368888,0.3383736482413031,3.47,,False
2010-05-18,86868,GS,GOLDMAN SACHS GROUP INC,137.36,880528000000.0,345224000000.0,193609000000.0,526853.0,72368528080.00002,442028500000.0,0.6119430614358657,-0.0377187569656647,0.3345719806718067,3.38,,False
2010-05-19,86868,GS,GOLDMAN SACHS GROUP INC,140.10001,880528000000.0,345224000000.0,193609000000.0,526853.0,73812110568.53,442028500000.0,0.6119430614358657,0.0197513081313259,0.3348699716990801,3.36,,False
2010-05-20,86868,GS,GOLDMAN SACHS GROUP INC,136.10001,880528000000.0,345224000000.0,193609000000.0,526853.0,71704698568.53,442028500000.0,0.6119430614358657,-0.0289665415877428,0.3344011265080749,3.25,,False
2010-05-24,86868,GS,GOLDMAN SACHS GROUP INC,136.69,880528000000.0,345224000000.0,193609000000.0,526853.0,72015536570.0,442028500000.0,0.6119430614358657,-0.0283456286064536,0.3371044630772016,3.23,,False
2010-06-01,86868,GS,GOLDMAN SACHS GROUP INC,141.86,880528000000.0,345224000000.0,193609000000.0,514789.0,73027967540.0,442028500000.0,0.6119430614358657,-0.0167765019822986,0.3377546483995705,3.29,,False
2010-06-07,86868,GS,GOLDMAN SACHS GROUP INC,138.67999,880528000000.0,345224000000.0,193609000000.0,514789.0,71390933372.11002,442028500000.0,0.6119430614358657,-0.0254170242980712,0.3356593290141601,3.17,,False
2010-06-08,86868,GS,GOLDMAN SACHS GROUP INC,137.78,880528000000.0,345224000000.0,193609000000.0,514789.0,70927628420.0,442028500000.0,0.6119430614358657,-0.0065108385433192,0.3356914643060841,3.18,,False
2010-06-09,86868,GS,GOLDMAN SACHS GROUP INC,136.8,880528000000.0,345224000000.0,193609000000.0,514789.0,70423135200.0,442028500000.0,0.6119430614358657,-0.0071382049765995,0.33569242704418,3.2,,False
2010-06-10,86868,GS,GOLDMAN SACHS GROUP INC,133.77,880528000000.0,345224000000.0,193609000000.0,514789.0,68863324530.0,442028500000.0,0.6119430614358657,-0.0223980978809551,0.3359653057723947,3.33,,False
2010-06-14,86868,GS,GOLDMAN SACHS GROUP INC,133.44,880528000000.0,345224000000.0,193609000000.0,514789.0,68693444160.0,442028500000.0,0.6119430614358657,-0.0163523786470011,0.3364761139881873,3.28,,False
2010-06-17,86868,GS,GOLDMAN SACHS GROUP INC,137.32001,880528000000.0,345224000000.0,193609000000.0,514789.0,70690830627.88998,442028500000.0,0.6119430614358657,0.0018952552544151,0.3354585942889722,3.21,,False
2010-06-18,86868,GS,GOLDMAN SACHS GROUP INC,138.17999,880528000000.0,345224000000.0,193609000000.0,514789.0,71133538872.11002,442028500000.0,0.6119430614358657,0.0062430692791802,0.3346656167631945,3.24,,False
2010-06-23,86868,GS,GOLDMAN SACHS GROUP INC,135.07001,880528000000.0,345224000000.0,193609000000.0,514789.0,69532555377.88998,442028500000.0,0.6119430614358657,0.0020752990476597,0.3311482195750964,3.13,,False
